ruta;linea;import
knowledge/inference/InferenceEngine.ts;44;./ContextResolver
knowledge/inference/InferenceEngine.ts;45;./RuleExecutor
knowledge/inference/InferenceEngine.ts;46;./LegalReasoner
knowledge/inference/InferenceEngine.ts;47;./ConflictResolver
knowledge/inference/InferenceEngine.ts;48;./RecommendationEngine
knowledge/inference/InferenceEngine.ts;49;./ExplanationEngine
knowledge/inference/InferenceEngine.ts;50;./EvidenceCollector
knowledge/inference/InferenceEngine.ts;51;./DecisionValidator
knowledge/inference/InferenceEngine.ts;52;./ConfidenceCalculator
knowledge/inference/InferenceEngine.ts;53;./TraceabilityManager
knowledge/reasoning/LegalReasoner.ts;27;../core/types
knowledge/reasoning/LegalReasoner.ts;35;../ontology/LegalOntology
knowledge/reasoning/LegalReasoner.ts;41;../rules/RuleEngine
src/application/documents/DocumentGenerator.ts;22;../../domain/common/types
src/application/integration/ApplicationKernel.ts;22;../services/CostEstimator
src/application/integration/WorkflowOrchestrator.ts;16;../services/CostEstimator
src/application/modules/contract-generator/ContractContext.ts;38;../../domain/common/types
src/application/modules/contract-generator/ContractContext.ts;47;../../domain/contracts/CPV
src/application/modules/contract-generator/ContractContext.ts;53;../../domain/contracts/ContractTypes
src/application/modules/contract-generator/ContractContext.ts;61;../../domain/legal/LegalReference
src/application/modules/contract-generator/ContractGenerator.ts;48;../../domain/conocimiento/RuleEngine
src/application/modules/contract-generator/ContractGenerator.ts;54;../../domain/conocimiento/InferenceEngine
src/application/modules/contract-generator/ContractGenerator.ts;60;../../domain/legal/LegalReasoner
src/application/modules/contract-generator/ContractGenerator.ts;66;../../domain/validation/ValidationEngine
src/application/modules/contract-generator/ContractGenerator.ts;72;../workflow/WorkflowEngine
src/application/modules/contract-generator/ContractGenerator.ts;78;../documents/DocumentGenerator
src/application/modules/contract-generator/ContractGenerator.ts;84;../export/ExportManager
src/application/modules/contract-generator/ContractGenerator.ts;90;../../domain/common/types
src/application/modules/contract-generator/GenerationResult.ts;30;../../domain/common/types
src/application/modules/contract-generator/GenerationResult.ts;45;../../domain/legal/LegalReference
src/application/workflow/WorkflowContext.ts;15;../../domain/legal/modules/publicidad/PublicationDecision
src/application/workflows/QuestionFlowEngine.ts;28;../../domain/contracts/ContractFile
src/documental/generators/MemoryComposer.ts;16;../DocumentContext
src/domain/clauses/ClauseGeneratorEngine.ts;11;../contracts/ContractType
src/domain/clauses/ClauseGeneratorEngine.ts;12;../cpv/CPVCode
src/domain/decision/ContractDecisionEngine.ts;34;../DecisionContext
src/domain/document-composer/types.ts;418;./DocumentContext
src/domain/document-composer/types.ts;695;./BaseDocumentGenerator
src/domain/document-composer/types.ts;707;../ppt/PPTGeneratorEngine
src/domain/document-composer/types.ts;708;../memoria/MemoryGeneratorEngine
src/domain/document-composer/types.ts;709;../informes/NeedReportGenerator
src/domain/document-composer/types.ts;710;../adjudicacion/AwardGenerator
src/domain/document-composer/types.ts;936;./DocumentFactory
src/domain/documental/BaseDocumentGenerator.ts;15;../domain/expediente/ExpedienteContext
src/domain/documental/DocumentAssembler.ts;19;../models/ExpedienteRequest
src/domain/documental/DocumentAssembler.ts;111;./generators/ResolutionGenerator
src/domain/documental/DocumentAssembler.ts;112;./generators/AwardReportGenerator
src/domain/documental/DocumentAssembler.ts;113;./generators/PublicationGenerator
src/domain/documental/DocumentAssembler.ts;115;./generators/MeansInsufficiencyGenerator
src/domain/documental/DocumentContext.ts;15;../framework/FrameworkTypes
src/domain/documental/DocumentContext.ts;21;../types/ProcedureResult
src/domain/documental/DocumentContext.ts;27;../types/ThresholdResult
src/domain/documental/DocumentContext.ts;33;../types/CPVResult
src/domain/documental/DocumentContext.ts;39;../types/SolvencyResult
src/domain/documental/DocumentContext.ts;45;../types/AwardCriteriaResult
src/domain/documental/DocumentContext.ts;51;../types/PublicationResult
src/domain/documental/DocumentContext.ts;57;../types/DeadlinesResult
src/domain/documental/DocumentContext.ts;63;../types/LotsResult
src/domain/documental/DocumentContext.ts;69;../types/ContractTypeResult
src/domain/knowledge/DecisionContext.ts;24;../contract-file/ContractFile
src/domain/legal/LegalReasoner.ts;22;../common/types
src/domain/legal/framework/AuditService.ts;19;../../common/types
src/domain/legal/framework/BaseRule.ts;14;../../common/types
src/domain/legal/framework/DiagnosticService.ts;15;../../common/types
src/domain/legal/framework/FrameworkTypes.ts;14;../../common/types
src/domain/legal/reasoner/LegalReasonerContext.ts;10;../modules/publicidad/PublicationDecision
src/domain/pcap/PCAPComposer.ts;33;../document-composer/SectionComposer
src/domain/pcap/PCAPComposer.ts;37;../document-composer/AnnexComposer
src/domain/pcap/PCAPComposer.ts;41;../document-composer/NumberingEngine
src/domain/pcap/PCAPGeneratorAdapter.ts;25;../document-composer/BaseDocumentGenerator
src/domain/pcap/PCAPGeneratorEngine.ts;21;../contracts/ContractFile
src/domain/resolvers/AwardCriteriaResolver.ts;20;../framework/BaseResolver
src/domain/resolvers/AwardCriteriaResolver.ts;22;../framework/FrameworkTypes
src/domain/resolvers/AwardCriteriaResolver.ts;37;../framework/KnowledgeConnector
src/domain/resolvers/AwardCriteriaResolver.ts;39;../framework/RuleExecutor
src/domain/resolvers/AwardCriteriaResolver.ts;41;../framework/DecisionFactory
src/domain/resolvers/AwardCriteriaResolver.ts;43;../framework/ValidationPipeline
src/domain/resolvers/AwardCriteriaResolver.ts;45;../framework/AuditService
src/domain/resolvers/AwardCriteriaResolver.ts;47;../framework/StatisticsService
src/domain/resolvers/AwardCriteriaResolver.ts;49;../framework/DiagnosticService
src/domain/resolvers/AwardCriteriaResolver.ts;51;../framework/BaseCache
src/domain/resolvers/AwardCriteriaResolver.ts;53;../types/AwardCriteriaResult
src/domain/resolvers/AwardCriteriaResolver.ts;59;../types/AwardCriteriaReason
src/domain/resolvers/AwardCriteriaResolver.ts;214;../framework/BaseResolver
src/domain/resolvers/AwardCriteriaResolver.ts;216;../framework/FrameworkTypes
src/domain/resolvers/AwardCriteriaResolver.ts;231;../framework/KnowledgeConnector
src/domain/resolvers/AwardCriteriaResolver.ts;233;../framework/RuleExecutor
src/domain/resolvers/AwardCriteriaResolver.ts;235;../framework/DecisionFactory
src/domain/resolvers/AwardCriteriaResolver.ts;237;../framework/ValidationPipeline
src/domain/resolvers/AwardCriteriaResolver.ts;239;../framework/AuditService
src/domain/resolvers/AwardCriteriaResolver.ts;241;../framework/StatisticsService
src/domain/resolvers/AwardCriteriaResolver.ts;243;../framework/DiagnosticService
src/domain/resolvers/AwardCriteriaResolver.ts;245;../framework/BaseCache
src/domain/resolvers/AwardCriteriaResolver.ts;247;../types/AwardCriteriaResult
src/domain/resolvers/AwardCriteriaResolver.ts;253;../types/AwardCriteriaReason
src/domain/resolvers/CPVResolver.ts;19;../framework/BaseResolver
src/domain/resolvers/CPVResolver.ts;21;../framework/FrameworkTypes
src/domain/resolvers/CPVResolver.ts;28;../framework/KnowledgeConnector
src/domain/resolvers/CPVResolver.ts;30;../framework/RuleExecutor
src/domain/resolvers/CPVResolver.ts;32;../framework/DecisionFactory
src/domain/resolvers/CPVResolver.ts;34;../framework/ValidationPipeline
src/domain/resolvers/CPVResolver.ts;36;../framework/AuditService
src/domain/resolvers/CPVResolver.ts;38;../framework/StatisticsService
src/domain/resolvers/CPVResolver.ts;40;../framework/DiagnosticService
src/domain/resolvers/CPVResolver.ts;42;../framework/BaseCache
src/domain/resolvers/CPVResolver.ts;44;../types/CPVResult
src/domain/resolvers/CPVResolver.ts;50;../types/CPVReason
src/domain/resolvers/ContractTypeResolver.ts;21;../framework/BaseResolver
src/domain/resolvers/ContractTypeResolver.ts;23;../framework/FrameworkTypes
src/domain/resolvers/ContractTypeResolver.ts;39;../framework/KnowledgeConnector
src/domain/resolvers/ContractTypeResolver.ts;40;../framework/RuleExecutor
src/domain/resolvers/ContractTypeResolver.ts;41;../framework/DecisionFactory
src/domain/resolvers/ContractTypeResolver.ts;42;../framework/ValidationPipeline
src/domain/resolvers/ContractTypeResolver.ts;43;../framework/AuditService
src/domain/resolvers/ContractTypeResolver.ts;44;../framework/StatisticsService
src/domain/resolvers/ContractTypeResolver.ts;45;../framework/DiagnosticService
src/domain/resolvers/ContractTypeResolver.ts;46;../framework/BaseCache
src/domain/resolvers/ContractTypeResolver.ts;48;../types/ContractTypeResult
src/domain/resolvers/ContractTypeResolver.ts;54;../types/ContractTypeReason
src/domain/resolvers/DeadlinesResolver.ts;20;../framework/BaseResolver
