ruta;bloque;extension;bytes;lineas;sintaxis_ok;imports_relativos_no_resueltos;marcador_temporal_todo;usa_any
README.md;Otros;.md;178;3;;0;NO;NO
knowledge/README.md;Conocimiento normativo y datos;.md;6126;358;;0;SI;NO
knowledge/VERSION.yaml;Conocimiento normativo y datos;.yaml;1045;53;;0;NO;NO
knowledge/catalogo-maestro/PATRON-MODULO-CONOCIMIENTO.yaml;Conocimiento normativo y datos;.yaml;37878;2328;;0;SI;NO
knowledge/catalogo-maestro/README.md;Conocimiento normativo y datos;.md;4886;347;;0;SI;NO
knowledge/catalogo-maestro/activos/memoria/necesidad.yaml;Conocimiento normativo y datos;.yaml;38471;2322;;0;SI;NO
knowledge/catalogo-maestro/metadatos/esquema-activo.yaml;Conocimiento normativo y datos;.yaml;3379;238;;0;NO;NO
knowledge/catalogo-maestro/metadatos/esquema-plantilla.yaml;Conocimiento normativo y datos;.yaml;3790;224;;0;NO;NO
knowledge/catalogo-maestro/metadatos/esquema-regla.yaml;Conocimiento normativo y datos;.yaml;3368;211;;0;NO;NO
knowledge/catalogo-maestro/modulos/catalogo-maestro.yaml;Conocimiento normativo y datos;.yaml;28692;1688;;0;SI;NO
knowledge/catalogo-maestro/modulos/cpv.yaml;Conocimiento normativo y datos;.yaml;54132;3042;;0;SI;NO
knowledge/catalogo-maestro/modulos/criterios_adjudicacion.yaml;Conocimiento normativo y datos;.yaml;1952;149;;0;NO;NO
knowledge/catalogo-maestro/modulos/decision_expediente.yaml;Conocimiento normativo y datos;.yaml;1405;129;;0;NO;NO
knowledge/catalogo-maestro/modulos/documentos.yaml;Conocimiento normativo y datos;.yaml;2097;159;;0;NO;NO
knowledge/catalogo-maestro/modulos/objeto.yaml;Conocimiento normativo y datos;.yaml;36945;2137;;0;SI;NO
knowledge/catalogo-maestro/modulos/plazos.yaml;Conocimiento normativo y datos;.yaml;1719;128;;0;NO;NO
knowledge/catalogo-maestro/modulos/procedimientos.yaml;Conocimiento normativo y datos;.yaml;1903;128;;0;NO;NO
knowledge/catalogo-maestro/modulos/publicidad.yaml;Conocimiento normativo y datos;.yaml;1763;136;;0;NO;NO
knowledge/catalogo-maestro/modulos/solvencia.yaml;Conocimiento normativo y datos;.yaml;1292;100;;0;NO;NO
